$formatNumber(1.3, "$‰‰.,", {"exponent-separator": "."})	ERR D3087 The sub-picture must not contain a 'grouping-separator' character that appears adjacent to a 'decimal-separator' character
$formatNumber(0.000012345, ",10", {"digit": "9"})	"00"
$formatNumber(99.5, "#%-%")	ERR D3082 The sub-picture must not contain more than one instance of the 'percent' character
$formatNumber(1.3, "1", {"exponent-separator": "."})	"1"
$formatNumber(7, "0E01-")	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(1234.5678, "‰%0 0", {"exponent-separator": "E"})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(1.3, "$,1", {"digit": "9"})	"$1"
$formatNumber(99.5, "E,.", {"exponent-separator": "E"})	ERR D3087 The sub-picture must not contain a 'grouping-separator' character that appears adjacent to a 'decimal-separator' character
$formatNumber(0.000012345, "E-0", {"exponent-separator": "."})	"E-0"
$formatNumber(99.5, "0‰$,E-0", {"digit": "9"})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(7, "e", {"exponent-separator": "."})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(0.000012345, "-", {"exponent-separator": "E"})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(99.5, " $0,,")	ERR D3089 The sub-picture must not contain two adjacent instances of the 'grouping-separator' character
$formatNumber(7, "0,", {"exponent-separator": "."})	ERR D3088 The sub-picture must not contain a 'grouping-separator' at the end of the integer part
$formatNumber(1234.5678, "010e0-", {"digit": "9"})	"123e1-"
$formatNumber(7, "% .9")	"% 700.0"
$formatNumber(7, "-$")	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(0.000012345, "-E", {"digit": "9"})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(7, "9$e-$1#", {"exponent-separator": "."})	ERR D3090 The integer part of the sub-picture must not contain a member of the 'decimal digit family' that is followed by an instance of the 'optional digit character'
$formatNumber(7, "‰e 00.", {"exponent-separator": "."})	ERR D3093 The exponent part of the sub-picture must comprise only of one or more characters that are members of the 'decimal digit family'
$formatNumber(1.3, "0E‰#")	ERR D3090 The integer part of the sub-picture must not contain a member of the 'decimal digit family' that is followed by an instance of the 'optional digit character'
$formatNumber(7, "0")	"7"
$formatNumber(1234.5678, "0", {"exponent-separator": "."})	"1235"
$formatNumber(99.5, "0ee0E1", {"digit": "9"})	ERR D3093 The exponent part of the sub-picture must comprise only of one or more characters that are members of the 'decimal digit family'
$formatNumber(1.3, "00,.0")	ERR D3087 The sub-picture must not contain a 'grouping-separator' character that appears adjacent to a 'decimal-separator' character
$formatNumber(1.3, "$#0", {"exponent-separator": "."})	"$1"
$formatNumber(1.3, "0#‰9e#", {"exponent-separator": "E"})	ERR D3090 The integer part of the sub-picture must not contain a member of the 'decimal digit family' that is followed by an instance of the 'optional digit character'
$formatNumber(1234.5678, "#--%")	"123457--%"
$formatNumber(1234.5678, "%e0$9.9", {"digit": "9"})	ERR D3091 The fractional part of the sub-picture must not contain an instance of the 'optional digit character' that is followed by a member of the 'decimal digit family'
$formatNumber(0.000012345, "0,1", {"exponent-separator": "."})	"0,0"
$formatNumber(1.3, "9", {"digit": "9"})	"1"
$formatNumber(0.000012345, "#", {"exponent-separator": "E"})	"0"
$formatNumber(99.5, "9.#9", {"digit": "9"})	ERR D3091 The fractional part of the sub-picture must not contain an instance of the 'optional digit character' that is followed by a member of the 'decimal digit family'
$formatNumber(1.3, ". ##E.$", {"exponent-separator": "E"})	ERR D3093 The exponent part of the sub-picture must comprise only of one or more characters that are members of the 'decimal digit family'
$formatNumber(1234.5678, "01##-#,")	ERR D3090 The integer part of the sub-picture must not contain a member of the 'decimal digit family' that is followed by an instance of the 'optional digit character'
$formatNumber(99.5, ".90", {"digit": "9"})	ERR D3091 The fractional part of the sub-picture must not contain an instance of the 'optional digit character' that is followed by a member of the 'decimal digit family'
$formatNumber(7, " 0,,0$", {"digit": "9"})	ERR D3089 The sub-picture must not contain two adjacent instances of the 'grouping-separator' character
$formatNumber(7, "009#", {"digit": "9"})	ERR D3090 The integer part of the sub-picture must not contain a member of the 'decimal digit family' that is followed by an instance of the 'optional digit character'
$formatNumber(99.5, "‰", {"digit": "9"})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(99.5, "%")	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(7, ",#00‰", {"digit": "9"})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(7, "e‰9.", {"exponent-separator": "."})	ERR D3093 The exponent part of the sub-picture must comprise only of one or more characters that are members of the 'decimal digit family'
$formatNumber(1234.5678, "$e-$%% ", {"digit": "9"})	ERR D3093 The exponent part of the sub-picture must comprise only of one or more characters that are members of the 'decimal digit family'
$formatNumber(1.3, "‰", {"exponent-separator": "E"})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(99.5, "0,#-", {"exponent-separator": "."})	ERR D3090 The integer part of the sub-picture must not contain a member of the 'decimal digit family' that is followed by an instance of the 'optional digit character'
$formatNumber(0.000012345, "-%e0.")	"-%e0"
$formatNumber(99.5, ".#‰", {"exponent-separator": "E"})	"99500.0‰"
$formatNumber(0.000012345, "0e,‰")	ERR D3093 The exponent part of the sub-picture must comprise only of one or more characters that are members of the 'decimal digit family'
$formatNumber(1234.5678, "#", {"digit": "9"})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(99.5, "##e1", {"exponent-separator": "."})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(1.3, "##$e9 ", {"digit": "9"})	"##$e1 "
$formatNumber(7, "%", {"exponent-separator": "."})	ERR D3086 The sub-picture must not contain a passive character that is preceded by an active character and that is followed by another active character
$formatNumber(99.5, ",,")	ERR D3089 The sub-picture must not contain two adjacent instances of the 'grouping-separator' character
$formatNumber(99.5, ",")	ERR D3088 The sub-picture must not contain a 'grouping-separator' at the end of the integer part
